Club;Capacidad;Prioridad;Tamano_Ciudad;Compro_Plaza;Conferencia;Solvencia_Economica
Ameghino;500;7;79351;0;0;0
Atenas;2000;12;20533;0;1;0
Barrio Parque;1000;10;1317298;0;0;1
Central Argentino Olímpico;1500;27;14499;0;0;0
Ciclista Juninense;3100;14;87509;0;1;1
Colón;400;25;391164;0;0;0
Deportivo Norte;1000;13;11181;0;0;1
Del Progreso;2500;18;81534;0;1;0
Deportivo Viedma;2500;4;52789;0;1;1
Echagüe;2306;9;247139;0;0;0
Estudiantes Concordia;1600;6;149450;0;1;0
Estudiantes;7100;24;111320;0;1;0
Estudiantes;1200;15;548866;0;0;0
Gimnasia y Esgrima La Plata;3000;21;643133;0;1;1
Independiente BBC;1000;31;252192;0;0;1
Lanús;3000;11;2936877;0;1;1
Parque Sur;1500;28;72528;0;1;1
Quilmes;8000;3;593337;0;1;1
Racing;1500;17;58152;0;1;1
Riachuelo;13000;29;178872;1;0;1
Rivadavia;900;30;82582;0;1;0
Salta Basket;10000;8;520683;0;0;0
San Isidro;800;20;61750;0;0;1
Sportivo América;2500;19;1193605;0;0;0
Tiro Federal;1300;23;18129;0;0;0
Tomás de Rocamora;1000;22;72528;0;1;1
Villa Mitre;2500;1;291327;0;1;1
Villa San Martín;1000;2;290723;0;0;1
Asociación Mitre;600;29;548866;0;0;0
Club Atlético Atenas;2000;4;20533;0;1;1
Club Atlético Estudiantes;7100;1;111320;0;1;1
Club Atlético Barrio Parque;1000;24;1317298;0;0;1
Club Atlético Platense;2100;14;2936877;0;1;1
Club Atlético San Isidro;800;9;61750;0;0;1
Club Atlético Temperley;1200;25;2936877;0;1;0
Club Atlético Unión;4500;6;391164;0;0;1
Club Ciclista Juninense;3100;21;87509;0;1;0
Club de Gimnasia y Esgrima La Plata;3000;19;643133;0;1;1
Club La Unión;1000;30;23150;0;1;0
Club Olimpo;2000;20;291327;0;1;0
Club Parque Sur;1500;7;72528;0;1;1
Club Social y Deportivo Huracán;550;11;97915;0;1;0
Club Social y Deportivo Petrolero Argentino;1000;16;35465;0;1;0
BHY Tiro Federal;1300;12;18129;0;0;1
Club Tomás de Rocamora;1000;26;72528;0;1;1
Deportivo Viedma;2500;5;52789;0;1;1
Hindú Club;3100;2;290723;0;0;0
Independiente Basketball Club;4000;17;252192;0;0;1
Oberá Tenis Club;2000;27;63960;0;0;0
Salta Basket;10000;22;520683;1;0;1
Sportivo Atlético Club Las Parejas;2500;31;12375;0;0;0
Villa Ángela Basket;1750;10;41403;0;0;0
Villa San Martín;1000;15;290723;0;0;0
Atlético Echagüe Club;3000;4;247139;1;0;1
Club Atlético Atenas;2000;14;20533;0;1;1
Club Atlético Estudiantes;7100;11;111320;0;1;1
Club Atlético Barrio Parque;1000;1;1317298;0;0;1
Club Atlético Platense;2100;2;2936877;0;1;1
Club Atlético San Isidro;800;10;61750;0;0;1
Club Atlético Sarmiento;3500;31;290723;0;0;0
Club Atlético Unión;4500;12;391164;0;0;1
Club Ciclista Juninense;3100;25;87509;0;1;1
Club Comunicaciones;2000;17;33551;0;0;1
Club de Gimnasia y Esgrima La Plata;3000;16;643133;0;1;1
Club La Unión;1000;22;23150;0;0;0
Club Olimpo;1800;27;291327;0;1;0
Club Parque Sur;1500;20;72528;0;1;1
Club Social y Deportivo Huracán;550;9;97915;0;1;0
Club Social y Deportivo Petrolero Argentino;1000;19;35465;0;1;1
BHY Tiro Federal Morteros;1300;15;18129;0;0;1
Club Tomás de Rocamora;1000;21;72528;0;1;1
Deportivo Viedma;2500;7;52789;0;1;1
Hindú Club;3100;6;290723;0;0;1
Monte Hermoso Básquet;2500;30;5394;0;1;0
Oberá Tenis Club;2000;24;63960;0;0;0
Salta Basket;10000;26;520683;0;0;1
UNCAus;2500;29;89882;0;0;0
Villa Ángela Basket;1750;5;41403;0;0;0
Anzorena-Ciudad de Mendoza;1300;31;114893;0;1;0
Atlético Echagüe Club;3000;14;247139;0;0;1
Asociación Atlética Banda Norte;1600;15;157010;0;1;0
Ceferino Alianza;2500;25;52789;0;1;1
Club Atlético Estudiantes;7100;7;111320;0;1;1
Club Atlético Barrio Parque;1000;21;1317298;0;0;1
Club Atlético San Isidro;800;8;61750;0;0;1
Club Atlético Sarmiento;1000;17;290723;0;0;0
Club Atlético Unión;4500;6;391164;0;0;1
Club Deportivo Hispano Americano;600;11;95796;0;1;1
Club La Unión;1000;20;23150;0;0;1
Club Social y Deportivo Huracán;550;13;97915;0;1;0
BHY Tiro Federal Morteros;1300;24;18129;0;0;1
Club Tomás de Rocamora;1000;28;72528;0;0;1
Monte Hermoso Básquet;2500;4;5394;0;1;0
Oberá Tenis Club;2000;10;63960;0;0;0
Unión GEPU-Sociedad Española;2400;23;169947;0;1;0
Sport Club Cañadense;2500;30;29205;0;1;0
Club Sportivo 9 de Julio;1000;1;46421;0;1;0
UNCAus;2500;27;89882;0;0;0
Villa Ángela Basket;1750;3;41403;0;0;0
Club Atlético San Lorenzo de Almagro;3100;18;2936877;1;1;1
Asociación Italiana de Socorros Mutuos;1700;26;26497;0;0;0
Club Atlético Alma Juniors;1000;21;40125;0;0;0
Club Atlético, Biblioteca y Mutual San Martín;1500;10;27004;0;0;1
Club Ciclista Juninense;3100;13;87509;0;1;1
Club Ciudad de Bragado;1000;5;33222;0;1;1
Club San Martín;3000;3;346334;0;0;1
Club Sportivo 9 de Julio;1000;8;46421;1;0;1
Club Independiente;1900;28;116916;0;1;1
Club Atlético Independiente;1000;31;231198;0;1;1
Firmat Football Club;1500;23;19757;0;1;0
Oberá Tenis Club;2000;18;63960;0;0;1
San Nicolás Belgrano;3500;15;133602;0;0;0
Asociación Española Mutual, Cultural y Deportiva;2500;31;26497;0;0;1
Asociación Italiana de Socorros Mutuos;1700;22;26497;0;0;1
Atlético Echagüe Club;3000;29;247139;0;0;1
Club Atlético Alma Juniors;1000;11;40125;0;0;0
Club Atlético Argentino;1500;16;87509;0;1;1
Club Atlético, Biblioteca y Mutual San Martín;1500;9;27004;0;1;1
Club Central Entrerriano;2100;18;80614;1;1;0
Club Ciclista Juninense;3100;4;87509;0;1;1
Club de Gimnasia y Esgrima La Plata;3000;20;643133;0;1;0
Club San Martín;3000;2;346334;0;0;1
Firmat Football Club;1500;24;19757;0;1;1
Instituto Cultural y Deportivo Pedro Echagüe;3000;7;2936877;0;1;0
Oberá Tenis Club;2000;27;63960;0;0;1
San Nicolás Belgrano;3500;13;133602;0;1;0
Regatas San Nicolás;1500;2;133602;0;0;1
Obras Sanitarias;3100;4;2936877;1;1;1
Gimnasia y Esgrima;3000;7;643133;0;1;1
Unión;1700;9;20537;0;0;1
El Nacional;3950;11;291327;1;1;1
Echagüe;3000;13;247139;0;0;1
Estudiantes;3950;16;291327;0;1;1
Fusión Racing-Pedro Echagüe;1000;18;2936877;0;1;1
Olimpia;3150;20;75437;0;0;0
Independiente;1000;22;231198;0;1;1
Alma Juniors;1000;24;40125;0;0;1
Ferro Carril Oeste;4500;27;2936877;0;1;0
San Martín;1000;29;87509;0;1;1
Asociación Mitre;600;31;548866;0;0;1
